Listing Name,Review Requests %,Link,Place ID,Scrape Date
"Kyle Bohm, M.D. (SHP: Livonia)",0.6091,https://search.google.com/local/reviews?placeid=ChIJG7AzuYuyJIgRrTLstnw4Za8,ChIJG7AzuYuyJIgRrTLstnw4Za8,2026-07-22
"Kyle Bohm, M.D. (SHP: Sterling Heights)",0.3909,https://search.google.com/local/reviews?placeid=ChIJQeUtbhDaJIgRzjZQXqfSnBU,ChIJQeUtbhDaJIgRzjZQXqfSnBU,2026-07-21
"Mohamed Salar, M.D. (SHP: Livonia)",0.5521,https://search.google.com/local/reviews?placeid=ChIJF_I35MWzJIgRTaOEg4SWFas,ChIJF_I35MWzJIgRTaOEg4SWFas,2026-07-22
"Mohamed Salar, M.D. (SHP: Sterling Heights)",0.4453,https://search.google.com/local/reviews?placeid=ChIJ9aC3uubbJIgRc3d7s8F9pL0,ChIJ9aC3uubbJIgRc3d7s8F9pL0,2026-07-22
"Preetinder Bhullar, M.D. (SHP Clinic: Southfield)",0.1416,https://search.google.com/local/reviews?placeid=ChIJUYQNsjK3JIgRoBVwOtTZ6dw,ChIJUYQNsjK3JIgRoBVwOtTZ6dw,2026-07-22
"Preetinder Bhullar, M.D. (SHP: Livonia)",0.7292,https://search.google.com/local/reviews?placeid=ChIJuz29SxmzJIgRqQZukK-gepw,ChIJuz29SxmzJIgRqQZukK-gepw,2026-07-22
"Preetinder Bhullar, M.D. (SHP: Sterling Heights)",0.1292,https://search.google.com/local/reviews?placeid=ChIJN0EIaoPbJIgRMmhvlzoZG00,ChIJN0EIaoPbJIgRMmhvlzoZG00,2026-07-22
"Randy Leff, D.P.M. (SHP Clinic: Southfield)",0.9991,https://search.google.com/local/reviews?placeid=ChIJM8Sf_YS3JIgRMLKjyYy1TSU,ChIJM8Sf_YS3JIgRMLKjyYy1TSU,2026-07-22
"Scott McCarty, M.D. (SHP Clinic: Southfield)",0.0463,https://search.google.com/local/reviews?placeid=ChIJeZL497O3JIgRQvuqcowQU_U,ChIJeZL497O3JIgRQvuqcowQU_U,2026-07-22
"Scott McCarty, M.D. (SHP: Livonia)",0.6825,https://search.google.com/local/reviews?placeid=ChIJkYbXZ3izJIgRXT99t0BFblc,ChIJkYbXZ3izJIgRXT99t0BFblc,2026-07-22
"Scott McCarty, M.D. (SHP: Sterling Heights)",0.2712,https://search.google.com/local/reviews?placeid=ChIJ90iLHOLbJIgRJUtYz-ynVJY,ChIJ90iLHOLbJIgRJUtYz-ynVJY,2026-07-22
"Stephen Mendelson, M.D. (SHP: Livonia)",0.4495,https://search.google.com/local/reviews?placeid=ChIJJVZxhpKyJIgRd2TcUQ2Q65E,ChIJJVZxhpKyJIgRd2TcUQ2Q65E,2026-07-21
"Stephen Mendelson, M.D. (SHP: Sterling Heights)",0.5505,https://search.google.com/local/reviews?placeid=ChIJRXCdkhraJIgRB4EVnXfB8Z4,ChIJRXCdkhraJIgRB4EVnXfB8Z4,2026-07-22
"Tony Abood, D.O. (SHP: Livonia)",0.4433,https://search.google.com/local/reviews?placeid=ChIJYbKLBSuzJIgRYoSZDqXpn0g,ChIJYbKLBSuzJIgRYoSZDqXpn0g,2026-07-22
"Tony Abood, D.O. (SHP: Sterling Heights)",0.4992,https://search.google.com/local/reviews?placeid=ChIJB9pfI3jbJIgRCrksKOhoeBQ,ChIJB9pfI3jbJIgRCrksKOhoeBQ,2026-07-22
SHP Clinic: Port Huron,0.0163,https://search.google.com/local/reviews?placeid=ChIJgbd68-mdJYgRjj5TYZ2SEIQ,ChIJgbd68-mdJYgRjj5TYZ2SEIQ,2026-07-21
SHP Clinic: Southfield,0.1278,https://search.google.com/local/reviews?placeid=ChIJwTae_YS3JIgRKm3iqM8HoNE,ChIJwTae_YS3JIgRKm3iqM8HoNE,2026-07-22
SHP Clinic: Troy,0.0077,,,-
SHP Physical Therapy: Sterling Heights,-,https://search.google.com/local/reviews?placeid=ChIJiQ9CTxbaJIgRnskppXvTe0E,ChIJiQ9CTxbaJIgRnskppXvTe0E,2026-07-21
SHP: Livonia,0.4742,https://search.google.com/local/reviews?placeid=ChIJYRydToyyJIgRSSdA8Hjp1bY,ChIJYRydToyyJIgRSSdA8Hjp1bY,2026-07-22
SHP: Sterling Heights,0.3711,https://search.google.com/local/reviews?placeid=ChIJ6QaEtJrZJIgR4VqEfaznNsE,ChIJ6QaEtJrZJIgR4VqEfaznNsE,2026-07-22
Synergy Ambulatory Surgery Center,-,https://search.google.com/local/reviews?placeid=ChIJi8krPJraJIgRUluVg75tS_o,ChIJi8krPJraJIgRUluVg75tS_o,2026-07-22
Synergy Health Partners,-,https://search.google.com/local/reviews?placeid=ChIJo2Mb2LbFJIgRtk7dzv7qjiQ,ChIJo2Mb2LbFJIgRtk7dzv7qjiQ,2026-07-21
