Campaign,Ad Group,Match Type,Keyword,Keyword (as entered),Status,Final URL (Phase 1 - launch with this),"Final URL (Phase 2 - proposed, after page build)",US Vol/mo,Action,Notes
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Exact,best spine doctors in michigan,[best spine doctors in michigan],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,,EXISTING,4.0 conv
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,spine specialist near me,"""spine specialist near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,5400,EXISTING,41.4 conv @ $91 CPA
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,spine doctor near me,"""spine doctor near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,,EXISTING,28.9 conv @ $51 CPA - best CPA in spine
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,spine doctors,"""spine doctors""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,,REACTIVATE,"PAUSED - was #2 kw by spend, $279 CPA"
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,spine specialist,"""spine specialist""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,4400,EXISTING,
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,spine pain specialist,"""spine pain specialist""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,,EXISTING,30.6 conv @ $244
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,spine pain specialist near me,"""spine pain specialist near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,170,EXISTING,13.0 conv @ $78
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,orthopedic spine specialist,"""orthopedic spine specialist""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,1600,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,spine and orthopedic specialists,"""spine and orthopedic specialists""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,1600,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,back and spine specialist,"""back and spine specialist""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,320,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,cervical spine specialist,"""cervical spine specialist""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,210,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,spine center near me,"""spine center near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,170,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,spine clinic near me,"""spine clinic near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,210,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,non surgical spine specialist,"""non surgical spine specialist""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,170,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,ortho spine specialist,"""ortho spine specialist""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,,EXISTING,18.0 conv @ $71
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Phrase,best spine doctor near me,"""best spine doctor near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,same as Phase 1,,EXISTING,
"BOD - Neck, Back, Spine - Sterling Heights",Spine Specialist,Negative (ad group list),"-salary -jobs -""icd 10"" -""what is a"" -school -residency -nyc -nj -""new jersey"" -""long island"" -dallas -texas -florida","-salary -jobs -""icd 10"" -""what is a"" -school -residency -nyc -nj -""new jersey"" -""long island"" -dallas -texas -florida",Enabled,,,,NEW,apply as ad-group negative keyword list
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,back doctors near me,[back doctors near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,2900,EXISTING,"4.0 conv, ROAS 2.00 - best ROAS in spine"
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,back doctor near me,[back doctor near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,4400,EXISTING,"11.0 conv, ROAS 1.23"
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,back specialist near me,[back specialist near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,,EXISTING,"13.0 conv, ROAS 1.00"
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,back dr near me,[back dr near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,,EXISTING,"8.5 conv, ROAS 1.01"
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,back pain doctor near me,[back pain doctor near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,2400,NEW,phrase ver = 16.5 conv @ $105
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,back doctor,[back doctor],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,5400,EXISTING,7.5 conv
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,back pain doctor,[back pain doctor],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,5400,EXISTING,1.5 conv
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,back pain specialist,[back pain specialist],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,,EXISTING,9.2 conv @ $286
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,back pain specialist near me,[back pain specialist near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,,EXISTING,1.0 conv
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,back pain doctors near me,[back pain doctors near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,390,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,lower back pain doctor,[lower back pain doctor],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,1900,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,orthopedic back doctor near me,[orthopedic back doctor near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,260,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,best back doctor near me,[best back doctor near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,320,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,back and spine doctor near me,[back and spine doctor near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,210,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Exact,doctor for back pain near me,[doctor for back pain near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,260,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,back doctors near me,"""back doctors near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,2900,EXISTING,17.0 conv @ $140
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,back pain doctor near me,"""back pain doctor near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,2400,EXISTING,16.5 conv @ $105
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,back specialist near me,"""back specialist near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,,EXISTING,15.5 conv @ $127
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,back doctor near me,"""back doctor near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,4400,EXISTING,
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,back specialist,"""back specialist""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,,EXISTING,16.0 conv @ $261
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,back pain specialist near me,"""back pain specialist near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,,EXISTING,2.0 conv
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,doctor in back pain,"""doctor in back pain""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,8100,NEW,"CPC $4.52, commercial intent"
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,doctors for back injuries,"""doctors for back injuries""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,12100,NEW,CPC $5.22 - highest vol commercial term found
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,lower back pain doctor,"""lower back pain doctor""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,1900,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,back problem doctor,"""back problem doctor""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,1600,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,lower back specialist doctors,"""lower back specialist doctors""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,320,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,back and spine doctors,"""back and spine doctors""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,260,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,back pain doctors near me,"""back pain doctors near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,390,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,chronic back pain doctor near me,"""chronic back pain doctor near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,30,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Phrase,back pain treatment near me,"""back pain treatment near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/back-pain/,,REACTIVATE,0 impr - sitting in paused Pain Mgmt
"BOD - Neck, Back, Spine - Sterling Heights",Back Pain Specialist,Negative (ad group list),"-""back to the future"" -mattress -chiropractor -chiropractic -salary -""icd 10"" -exercises -stretches -""what is a back doctor"" -""doctor odyssey"" -""doctor who"" -""doctor stone"" -pillow -brace -massage","-""back to the future"" -mattress -chiropractor -chiropractic -salary -""icd 10"" -exercises -stretches -""what is a back doctor"" -""doctor odyssey"" -""doctor who"" -""doctor stone"" -pillow -brace -massage",Enabled,,,,NEW,apply as ad-group negative keyword list
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Exact,neck pain doctor near me,[neck pain doctor near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,390,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Exact,neck specialist,[neck specialist],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,,EXISTING,3.0 conv
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Exact,neck and back specialist near me,[neck and back specialist near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,,EXISTING,
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Exact,orthopedic neck specialist near me,[orthopedic neck specialist near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,,EXISTING,
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Exact,neck pain specialist,[neck pain specialist],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Exact,neck doctor near me,[neck doctor near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Exact,best neck pain doctor near me,[best neck pain doctor near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,210,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Exact,neck and spine specialist near me,[neck and spine specialist near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,170,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Phrase,neck pain specialist,"""neck pain specialist""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,,EXISTING,35.2 conv @ $169 - strongest neck term
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Phrase,neck pain specialist near me,"""neck pain specialist near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,,EXISTING,2.5 conv
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Phrase,neck specialist near me,"""neck specialist near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,,EXISTING,3.0 conv
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Phrase,neck doctor near me,"""neck doctor near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,,EXISTING,5.5 conv @ $87
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Phrase,neck pain doctor,"""neck pain doctor""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,1300,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Phrase,neck pain doctor near me,"""neck pain doctor near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,390,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Phrase,cervical spine specialist,"""cervical spine specialist""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,210,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Phrase,neck and back pain doctor near me,"""neck and back pain doctor near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,210,NEW,
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Phrase,neck pain treatment near me,"""neck pain treatment near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,,REACTIVATE,0 impr - in paused Pain Mgmt
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Phrase,neck pain treatment,"""neck pain treatment""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,,REACTIVATE,in paused Pain Mgmt
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Phrase,neck physical therapy near me,"""neck physical therapy near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/neck-pain/,,REACTIVATE,in paused Pain Mgmt
"BOD - Neck, Back, Spine - Sterling Heights",Neck Pain Specialist,Negative (ad group list),"-""icd 10"" -""red flags"" -""when to see"" -stretches -exercises -pillow -massage -chiropractor -""lump on back of neck"" -salary","-""icd 10"" -""red flags"" -""when to see"" -stretches -exercises -pillow -massage -chiropractor -""lump on back of neck"" -salary",Enabled,,,,NEW,apply as ad-group negative keyword list
BOD - Spine Conditions - Sterling Heights,Sciatica,Exact,sciatica treatment near me,[sciatica treatment near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,1900,NEW,highest transactional sciatica term
BOD - Spine Conditions - Sterling Heights,Sciatica,Exact,sciatica doctor near me,[sciatica doctor near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,720,NEW,
BOD - Spine Conditions - Sterling Heights,Sciatica,Exact,sciatica specialist near me,[sciatica specialist near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,260,NEW,
BOD - Spine Conditions - Sterling Heights,Sciatica,Exact,sciatica pain doctor,[sciatica pain doctor],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,260,NEW,
BOD - Spine Conditions - Sterling Heights,Sciatica,Exact,sciatica specialist,[sciatica specialist],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,170,NEW,
BOD - Spine Conditions - Sterling Heights,Sciatica,Exact,doctor for sciatica,[doctor for sciatica],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,170,NEW,
BOD - Spine Conditions - Sterling Heights,Sciatica,Phrase,sciatica treatment near me,"""sciatica treatment near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,1900,NEW,
BOD - Spine Conditions - Sterling Heights,Sciatica,Phrase,sciatica doctor near me,"""sciatica doctor near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,720,NEW,
BOD - Spine Conditions - Sterling Heights,Sciatica,Phrase,sciatica specialist near me,"""sciatica specialist near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,260,NEW,
BOD - Spine Conditions - Sterling Heights,Sciatica,Phrase,sciatica specialist,"""sciatica specialist""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,170,NEW,
BOD - Spine Conditions - Sterling Heights,Sciatica,Phrase,sciatica pain doctor,"""sciatica pain doctor""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,260,NEW,
BOD - Spine Conditions - Sterling Heights,Sciatica,Phrase,sciatica treatment,"""sciatica treatment""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,27100,REACTIVATE,PAUSED. High vol but mostly informational - watch CPA daily
BOD - Spine Conditions - Sterling Heights,Sciatica,Phrase,sciatica pain relief,"""sciatica pain relief""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,40500,REACTIVATE,"PAUSED. Informational-heavy - start paused, test 2nd"
BOD - Spine Conditions - Sterling Heights,Sciatica,Phrase,sciatic nerve pain relief,"""sciatic nerve pain relief""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,22200,REACTIVATE,PAUSED. Same caution
BOD - Spine Conditions - Sterling Heights,Sciatica,Phrase,physical therapy for sciatica near me,"""physical therapy for sciatica near me""",Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/sciatica/,,REACTIVATE,in paused Pain Mgmt
BOD - Spine Conditions - Sterling Heights,Sciatica,Negative (ad group list),"-stretches -exercises -""icd 10"" -pregnancy -pregnant -""how to"" -""what is"" -""how long"" -mattress -chiropractic -chiropractor -cream -brace -""at home"" -""ice pack"" -symptoms -""feel like"" -medication -pillow -""does it go away"" -meaning","-stretches -exercises -""icd 10"" -pregnancy -pregnant -""how to"" -""what is"" -""how long"" -mattress -chiropractic -chiropractor -cream -brace -""at home"" -""ice pack"" -symptoms -""feel like"" -medication -pillow -""does it go away"" -meaning",Enabled,,,,NEW,apply as ad-group negative keyword list
BOD - Spine Conditions - Sterling Heights,Herniated / Bulging Disc,Exact,herniated disc treatment near me,[herniated disc treatment near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/herniated-disc/,1600,NEW,"CPC $2.65, transactional"
BOD - Spine Conditions - Sterling Heights,Herniated / Bulging Disc,Exact,herniated disc doctor near me,[herniated disc doctor near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/herniated-disc/,140,NEW,
BOD - Spine Conditions - Sterling Heights,Herniated / Bulging Disc,Exact,herniated disc specialist near me,[herniated disc specialist near me],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/herniated-disc/,70,NEW,
BOD - Spine Conditions - Sterling Heights,Herniated / Bulging Disc,Exact,herniated disc specialist,[herniated disc specialist],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/herniated-disc/,260,NEW,
BOD - Spine Conditions - Sterling Heights,Herniated / Bulging Disc,Exact,discectomy,[discectomy],Enabled,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/,https://synergyhealth.org/specialty/spine-neck-back/sterling-heights/herniated-disc/,,EXISTING,migrate from Spine Conditions campaign
