Rank,Sean Focus Callout,Route Eligibility,Current PL / Owner,Target Score,Tier,Referral Evidence Band,Operating Lane,Account / Practice,MMC Company ID,Practice Type,City,Full Address,MMC Groups,2026 Spine Patients,2026 Ortho Patients,2026 Other Patients,2026 Total B2B Patients,Last Patient Date,Last Completed Visit,Days Since Visit,Visit-Days 4W,Visit-Days 12W,Linked People,Frequency Status,Planned Cadence Days,Operating Status,Next Action,Coordinate Status,Referral Sources / Review Notes
11,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,82,Tier 1,Repeat Spine Referrer,Proven Spine / Protect,Ryan Medical Associates,c88f05f1-5992-43b0-947c-469a44a0feef,PCP,Warren,"21647 Ryan Rd, Warren, MI, 48091",Internal Medicine/PCP,2,1,0,3,2026-04-07 00:00:00,2026-04-20 00:00:00,87,0,0,4,Unknown,14,Likely Open – recent MMC visit,"Protect: thank, learn and expand spine",Exact MMC coordinate,"Matched referral source(s): Agrest DO, Kevin A; England NP, Christine; Kraft DO, Jeffrey A"
12,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,71,Tier 1,One Spine Patient,Proven Spine / Protect,Sterling Physicians,1972593499,PCP,Sterling Heights,"36040 Dequindre Road, Sterling Heights, Michigan, 48310",Internal Medicine/PCP,1,0,0,1,2026-07-07 00:00:00,2026-06-04 00:00:00,42,0,2,2,Unknown,14,Likely Open – recent MMC visit,Convert: ask for the next spine patient,Exact MMC coordinate,"Matched referral source(s): Burtka MD, James"
13,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,70,Tier 1,One Spine Patient,Proven Spine / Protect,Cornerstone Lakefront Internists,16c0ac85-6d3c-4c74-97b4-385a2a7fac00,PCP,St. Clair Shores,"20952 Twelve Mile Rd ste 101, St. Clair Shores, Michigan, 48081",Internal Medicine/PCP,1,0,0,1,2026-02-10 00:00:00,2026-04-27 00:00:00,80,0,1,3,Unknown,14,Likely Open – recent MMC visit,Convert: ask for the next spine patient,Exact MMC coordinate,"Matched referral source(s): Osowa MD, Benjamin"
14,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,70,Tier 1,One Spine Patient,Proven Spine / Protect,Get Well Urgent Care - Sterling Heights,1bcc2e23-5fc1-428c-ad41-dc35c5345bf7,Urgent Care,Sterling Heights,"2567 Metro Parkway, Sterling Heights, Michigan, 48310",Urgent care,1,1,0,2,2026-05-26 00:00:00,2026-06-04 00:00:00,42,0,1,3,Unknown,14,Likely Open – recent MMC visit,Convert: ask for the next spine patient,Exact MMC coordinate,Matched referral source(s): Get Well Urgent Care - Sterling Heights; Get Well Urgent Care Of Sterling Heights
15,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,70,Tier 1,One Spine Patient,Proven Spine / Protect,Henry Ford Medical Center - East Jefferson,1043384555,PCP,Saint Clair Shores,"24725 E Jefferson, Saint Clair Shores, MI, 48080",Internal Medicine/PCP,1,1,0,2,2026-06-01 00:00:00,2026-04-27 00:00:00,80,0,1,6,Unknown,14,Likely Open – recent MMC visit,Convert: ask for the next spine patient,Exact MMC coordinate,"Matched referral source(s): Turk MD, Eshel"
16,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,70,Tier 1,One Spine Patient,Proven Spine / Protect,Kashat Urgent care,0b9485b1-39bd-4f21-8222-387834af8472,Urgent Care,Sterling Heights,"35200 Dequindre Road, Sterling Heights, Michigan, 48310",Urgent care,1,0,0,1,2026-06-03 00:00:00,2026-06-04 00:00:00,42,0,1,2,Unknown,14,Likely Open – recent MMC visit,Convert: ask for the next spine patient,Exact MMC coordinate,"Matched referral source(s): Kashat MD, Ghazawan K"
17,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,70,Tier 1,One Spine Patient,Proven Spine / Protect,Michigan Primary Care - Sterling Heights,ce3b56cf-1381-41d0-b067-752448464958,PCP,Sterling Heights,"41400 Dequindre Rd, ste 121, Sterling Heights, Michigan, 48314",Internal Medicine/PCP,1,0,0,1,2026-05-19 00:00:00,2026-06-04 00:00:00,42,0,1,3,Unknown,14,Likely Open – recent MMC visit,Convert: ask for the next spine patient,Exact MMC coordinate,"Matched referral source(s): Tasevski NP, Aleksandra"
18,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,70,Tier 1,One Spine Patient,Proven Spine / Protect,Schoenherr Parkway Family Practice,62e680e9-a222-400d-9186-a369d13cf23f,PCP,Sterling Heights,"13951 Plumbrook, Sterling Heights, Michigan, 48312",Internal Medicine/PCP,1,2,0,3,2026-04-01 00:00:00,2026-04-29 00:00:00,78,0,1,2,Unknown,14,Likely Open – recent MMC visit,Convert: ask for the next spine patient,Exact MMC coordinate,"Matched referral source(s): Khater MD, Mona"
19,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,69,Tier 1,One Spine Patient,Proven Spine / Protect,"DIAB AND KINNER INTERNAL MEDICINE, PC- use",954353cc-a941-4b77-90f3-f3fb1c62e161,PCP,WARREN,"29703 HOOVER RD STE A, WARREN, Michigan, 48093",Internal Medicine/PCP,1,0,0,1,2026-01-15 00:00:00,2026-03-24 00:00:00,114,0,0,2,Unknown,14,Likely Open – recent MMC visit,Convert: ask for the next spine patient,Exact MMC coordinate,"Matched referral source(s): Kinner DO, Carolann"
20,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,69,Tier 1,One Spine Patient,Proven Spine / Protect,Tri-County Medical Clinic,1386634749,PCP,Sterling Heights,"37450 DeQuindre Rd, Sterling Heights, MI, 48310",Internal Medicine/PCP,1,1,0,2,2026-02-03 00:00:00,2026-04-01 00:00:00,106,0,0,9,Unknown,14,Likely Open – recent MMC visit,Convert: ask for the next spine patient,Exact MMC coordinate,"Matched referral source(s): Deitch DO, Jeffrey S; Wolok Do, Kenneth J"
21,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,56,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Michigan Adult and Child Medicine,1700860103,PCP,Warren,"11885 E. 12 Mile Rd, Ste 100A, Warren, Michigan, 48093",Internal Medicine/PCP;Pediatrician,0,4,0,4,2026-07-09 00:00:00,2026-03-24 00:00:00,114,0,0,8,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Byrne MD, John; Fisher MD, Jeffrey; Paye MD, Renee Y"
22,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,51,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Pioneer Medical Associates - Warren,1750481842,PCP,Warren,"27540 Hoover Rd, Warren, MI, 480934505",Internal Medicine/PCP,0,2,0,2,2026-03-18 00:00:00,2026-05-21 00:00:00,56,0,1,5,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Koneru, Srinivas; Marcotte, Robert"
23,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,51,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Sterling Heights Urgent Care,719fbbb9-0131-4ed6-bfd7-14646d9c41fb,Urgent Care,Sterling Heights,"37771 Schoenherr Rd Suite 102, Sterling Heights, MI 48312, United States, Sterling Heights, Michigan, 48312",Urgent care,0,2,1,3,2026-04-17 00:00:00,2026-04-29 00:00:00,78,0,1,3,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,Matched referral source(s): Sterling Heights Urgent Care
24,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,50,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Roseville Family Practice,c96dc780-a933-4f9f-aaa3-e1da22d0f35e,PCP,Warren,"28295 Schoenherr Road Suite C, Warren, Michigan, 48088",Internal Medicine/PCP,0,2,0,2,2026-02-02 00:00:00,2026-03-12 00:00:00,126,0,0,4,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Holowinski MD, Mark"
25,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,46,Tier 2,Ortho Referrer,Ortho / Cross-Sell,David S Weingarden MD & Associates,ec2dcadc-ce63-4324-aea0-52ae2b2bdd91,Orthopedic,Clinton Township,"43555 Dalcoma Dr suite 4 Clinton Twp, Clinton Township, Michigan, 48038",Neurology;Physiatry;Pain Management,0,1,0,1,2026-05-29 00:00:00,2026-03-26 00:00:00,112,0,0,9,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Davis MD, David"
26,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,46,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Elite Family Medicine,3b700a13-2f3b-4e83-bd1f-61bd1cca19e6,PCP,Sterling Heights,"33200 Dequindre Rd, Sterling Heights, Michigan, 48310",Internal Medicine/PCP,0,1,0,1,2026-03-16 00:00:00,2026-06-04 00:00:00,42,0,1,2,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Hasso MD, Maha"
27,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,46,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Epic Health - St Clair Shores,8c04fb31-3380-488f-aa8a-954ff32146f2,PCP,St. Clair Shores,"28001 Harper, St. Clair Shores, Michigan, 48081",Internal Medicine/PCP,0,1,0,1,2026-05-26 00:00:00,2026-05-06 00:00:00,71,0,1,7,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Barnett DO, Ronald"
28,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,46,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Get Well Urgent Care - Warren,8ae19fc3-b1ab-4f35-ab71-b73d93833918,Urgent Care,Warren,"26000 Hoover Rd, Warren, Michigan, 48089",Urgent care,0,1,0,1,2026-05-01 00:00:00,2026-04-24 00:00:00,83,0,1,4,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,Matched referral source(s): Get Well Urgent Care Warren
29,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,46,Tier 2,Ortho Referrer,Ortho / Cross-Sell,MyCare Health Center - Mt Clemens,1427049683,PCP,Mount Clemens,"18 Market Street, ste C, Mount Clemens, MI, 48043",Internal Medicine/PCP,0,1,0,1,2026-04-27 00:00:00,2026-05-14 00:00:00,63,0,1,3,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Allor FNP-C, Christine M"
30,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,46,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Sterling Medical Center & Urgent Care,f30f611c-772a-406a-9d92-231790b785c2,Urgent Care,STERLING HEIGHTS,"13409 E 14 MILE RD, STERLING HEIGHTS, Michigan, 48312",Urgent care,0,1,0,1,2026-04-20 00:00:00,2026-04-30 00:00:00,77,0,1,4,Past due,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Bazzy, Mohammed Nader"
31,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,46,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Waypointe Internal Medicine,1164469821,PCP,Saint Clair Shores,"24400 Greater Mack Ave, Saint Clair Shores, MI, 48080",Internal Medicine/PCP,0,1,0,1,2026-03-20 00:00:00,2026-04-27 00:00:00,80,0,1,5,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Fox MD, Sara Ann"
32,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,45,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Allied Internists,1063423176,PCP,Roseville,"18263 E 10 Mile Rd, ste E, Roseville, Michigan, 48066",Internal Medicine/PCP,0,1,0,1,2026-02-05 00:00:00,2026-04-20 00:00:00,87,0,0,2,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Ishaqsei MD, Wahed"
33,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,45,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Aquino Integrative Internal Medicine,1780671461,PCP,Roseville,"30695 Little Mack Avenue, ste 500, Roseville, Michigan, 48066",Internal Medicine/PCP,0,1,0,1,2026-03-30 00:00:00,2026-03-12 00:00:00,126,0,0,2,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Aquino DO, Robert"
34,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,45,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Horizon Care Medical Group - Warren,476bc8e4-84c4-4063-97a9-b649ed44dddf,PCP,Warren,"26000 Hoover Rd #103, Warren, Michigan, 48089",Internal Medicine/PCP,0,1,0,1,2026-03-11 00:00:00,2026-05-05 00:00:00,72,0,1,1,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Spearman MD, Anthony"
35,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,45,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Masonic Medical Center - Ascension,e73f759b-87dc-444f-a504-b954ddeeace1,PCP,St. Clair Shores,"21099 Masonic, St. Clair Shores, Michigan, 48082",Internal Medicine/PCP,0,1,0,1,2026-05-15 00:00:00,2026-03-27 00:00:00,111,0,0,12,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): WILSON MD, JEANETTE  ELIZABETH"
36,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,45,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Toma & Yaldo Medical Center,d1255d1a-17e8-4765-bfe5-45c6c087c8ed,PCP,Sterling Heights,"39150 Dequindre Rd suite 200, Sterling Heights, Michigan, 48310",Internal Medicine/PCP,0,1,0,1,2026-07-07 00:00:00,2026-03-18 00:00:00,120,0,0,2,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Toma MD, Raad"
37,Core Sterling / Macomb Lane,Priority route,Sean / Sean Sweeney,44,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Office of David Mandy DO,da57adc9-a2cf-4705-886d-76146cbbde06,Pediatrics,Macomb Township,"46600 Romeo Plank, Ste. 4, Macomb Township, MI, 48044",Pediatrician,0,1,0,1,2026-01-06 00:00:00,2026-05-14 00:00:00,63,0,1,1,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): MANDY, DAVID"
38,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,11,Prospect,Visit / Prospect,Current / Maintain,Livewell Medical Clinic,1a50a3fe-5c81-47ac-8c33-c39f41b5453f,PCP,Warren,"24831 Ryan Rd, Warren, Michigan, 48091",Internal Medicine/PCP,0,0,0,0,,2026-07-06 00:00:00,10,1,3,2,Unknown,45,Likely Open – recent MMC visit,Keep: reinforce spine access,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
39,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,11,Prospect,Visit / Prospect,Current / Maintain,Michigan Surgery Specialists,a6425ca5-5f40-4eb9-b8d3-f9f9387bc6a3,Orthopedic,Warren,"11012 13 Mile Rd ste 112, Warren, Michigan, 48093",Orthopedic - PT;Orthopedic Surgery,0,0,0,0,,2026-07-07 00:00:00,9,1,1,5,Unknown,45,Likely Open – recent MMC visit,Keep: reinforce spine access,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
40,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,Elite Internal Medicine,f1101477-8d8b-4dfb-95cb-9be7ef328263,PCP,Sterling Heights,"34580 Dequindre Rd, Sterling Heights, Michigan, 48310",Internal Medicine/PCP,0,0,0,0,,2026-06-04 00:00:00,42,0,2,3,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
41,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Current / Maintain,Farmbrooke Family Medicine,8aca94c9-b375-4da0-9d0f-c7861c72e822,PCP,Macomb,"16800 24 Mile Rd, Macomb, Michigan, 48042",Internal Medicine/PCP,0,0,0,0,,2026-06-30 00:00:00,16,1,2,1,Unknown,45,Likely Open – recent MMC visit,Keep: reinforce spine access,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
42,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,Insight Pain Clinic - Warren,b3bfba2d-21ca-471b-b3b4-4f58148197b4,Pain,Warren,"21230 Dequindre Rd, Warren, Michigan, 48091",Pain Management,0,0,0,0,,2026-05-05 00:00:00,72,0,1,6,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
43,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Reactivation,Macomb Pain Management,1158487e-32f5-4bad-ac3b-9844a0cb9437,Pain,Shelby Township,"8152 25 Mile Rd suite b, Shelby Township, Michigan, 48316",Pain Management,0,0,0,0,,2026-04-23 00:00:00,84,0,1,3,Past due,45,Likely Open – recent MMC visit,Increase: visit now; reset cadence,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
44,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,Nu Life Medical - Shelby Township,eb99f0db-4d6a-4e65-b31a-a1f28abc9c8c,Pain,Shelby Township,"45445 Mound Rd, Shelby Township, Michigan, 48317",Pain Management,0,0,0,0,,2026-04-23 00:00:00,84,0,1,9,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
45,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,Pioneer Medical Associates - Clinton Township,f531b857-e35d-42db-91eb-2d379ec53611,PCP,Clinton Township,"15945 19 Mile Rd, ste 206, Clinton Township, Michigan, 48038",Internal Medicine/PCP,0,0,0,0,,2026-05-19 00:00:00,58,0,2,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
46,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,Schoenherr Internal Medicine,a92c6a22-db49-4fd2-b6ea-8c9411430f92,PCP,Sterling Heights,"37771 Schoenherr Rd suite 103, Sterling Heights, Michigan, 48312",Internal Medicine/PCP,0,0,0,0,,2026-05-01 00:00:00,76,0,2,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
47,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,St Clair Orthopaedics & Sports Medicine - St Clair Shores,1760694533,Orthopedic,Saint Clair Shores,"23829 Little Mack Ave, Saint Clair Shores, MI, 480801186",Orthopedic Surgery,0,0,0,0,,2026-05-06 00:00:00,71,0,1,11,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
48,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Advanced Physical Medicine,1659376267,Pain,Saint Clair Shores,"24345 Harper Ave, Saint Clair Shores, MI, 48080",Pain Management,0,0,0,0,,2026-04-27 00:00:00,80,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
49,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Advantage Family Health Center,5dc68cde-498d-472c-9153-b9ca63eee06a,PCP,Warren,"4669 8 Mile Rd, Warren, Michigan, 48091",Internal Medicine/PCP,0,0,0,0,,2026-05-13 00:00:00,64,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
50,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Reactivation,Aggarwal & Associates MD PC,f2e93acd-cb0f-4b5e-b05c-493f59998d87,PCP,Warren,"29610 Ryan Rd, Warren, MI, 48092",PCP,0,0,0,0,,2026-04-24 00:00:00,83,0,1,2,Past due,45,Likely Open – recent MMC visit,Increase: visit now; reset cadence,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
