Company ID,Company Name,PL,book_tier,joel_tier,joel_spine_trigger,joel_last_referral,applied_tier,reason
e6a683fe-f991-45a4-a323-6788ed1aeed2,Associated Physicians Group,Coty,Prospect,Tier 2,,2025-11-24,Prospect,Joel Tier 2 on 2025-only evidence (last referral 2025-11-24) — not applied
1023224664,Berkley Medical Center,Coty,Prospect,Tier 1,2025-11-17,2026-07-28,Prospect,Joel T1 on 2025 spine (2025-11-17); a 2026 referral on 2026-07-28 but its service line is unknown — not applied; Joel to classify
feacb877-2f93-46f2-94a1-dd073278159f,Novus Primary Care,Coty,Prospect,Tier 3,,2025-11-28,Prospect,Joel Tier 3 on 2025-only evidence (last referral 2025-11-28) — not applied
1790797207,Progressive Health Care,Coty,Tier 2,Tier 1,2025-07-10,2026-05-14,Tier 2,Joel T1 on 2025 spine (2025-07-10); a 2026 referral on 2026-05-14 but its service line is unknown — not applied; Joel to classify
1174554364,Be Well Medical Center,Coty,Tier 1,Tier 1,2025-03-19,2026-07-29,Tier 1,Joel agrees
bf5d89a6-74f7-4063-bb09-69d92d0a5f57,Keystone Partners - Macomb,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1396736724,Woods Cardiovascular Internal Medicine Associates - Macomb,Coty,Prospect,Tier 2,,2025-10-23,Prospect,Joel Tier 2 on 2025-only evidence (last referral 2025-10-23) — not applied
67778aa6-f0ab-4aac-80f9-0de0c25b2ac8,Cornerstone Garfield Family Practice - Ascension,Coty,Tier 2,Tier 1,2025-02-05,2026-08-26,Tier 2,Joel T1 on 2025 spine (2025-02-05); a 2026 referral on 2026-08-26 but its service line is unknown — not applied; Joel to classify
1225209075,Office of George Nassif MD,Coty,Tier 1,Tier 1,2025-10-08,2026-06-15,Tier 1,Joel agrees
2eb4ee80-dd25-41e6-bfe5-f3b5e5e7cf91,Orthopedic Surgery of Macomb,Coty,Prospect,Prospect,,,Prospect,Joel agrees
eaff83df-eecc-4f3e-a041-cea71bad788e,Movement Orthopedics,Coty,Prospect,Prospect,,,Prospect,Joel agrees
90c163c1-4bb1-4e1f-bf4c-677df1b21c76,Neuro Pain Consultants - Sterling Heights,Coty,Prospect,Prospect,,,Prospect,Joel agrees
fa76c755-e677-4007-b491-b3f43d925c89,Cheryl Lerchin MD Physical Medicine & Rehabilitation,Coty,Prospect,Prospect,,,Prospect,Joel agrees
ccf33cc6-8519-40b6-9e5b-fb3167a271ba,Berkley Primary Care,Coty,Prospect,Tier 3,,2025-07-30,Prospect,Joel Tier 3 on 2025-only evidence (last referral 2025-07-30) — not applied
8d70ed21-9cc0-4e04-a934-e01ab1155823,Epic Primary Care - Ferndale,Coty,Tier 1,Tier 1,2025-03-24,2026-07-09,Tier 1,Joel agrees
e3a99c41-ef87-4be9-8e02-1ca4d4db2c36,Oak Street Health – Hazel Park,Coty,Prospect,Tier 3,,2025-08-19,Prospect,Joel Tier 3 on 2025-only evidence (last referral 2025-08-19) — not applied
30b11efd-3e51-4d39-aace-cfc33153c87d,Primary Medical Services,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1720079437,John R Medical Clinic,Coty,Tier 2,Tier 1,2025-12-09,2026-08-24,Tier 2,Joel T1 on 2025 spine (2025-12-09); a 2026 referral on 2026-08-24 but its service line is unknown — not applied; Joel to classify
1760473094,Madison Medical Arts,Coty,Tier 1,Tier 1,2026-06-18,2026-06-18,Tier 1,Joel agrees
1699828632,MHP Internal Medicine,Coty,Tier 2,Tier 2,,2026-05-27,Tier 2,Joel agrees
6772a157-179b-472b-8b92-8c0068cdc5ec,MHP Orthopedics - Madison Heights,Coty,Prospect,Prospect,,,Prospect,Joel agrees
a183eb7c-8d61-4470-8154-52f7dbff87b5,Barry S Meyer DO PC,Coty,Tier 1,Tier 1,2025-08-14,2026-05-27,Tier 1,Joel agrees
43c9c4e0-b552-4969-99f6-413f7f3384a9,Silver Pine Medical Group Chesterfield,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1093985145,Bay Area Family Physicians,Coty,Tier 1,Tier 1,2026-06-17,2026-06-17,Tier 1,Joel agrees
17d9d453-263e-48c1-895b-73d68979325d,North Point Medical,Coty,Prospect,Prospect,,,Prospect,Joel agrees
76edf894-7297-4aa7-af64-6b116e13aa3a,Eastside Surgical Associates,Coty,Prospect,Prospect,,,Prospect,Joel agrees
2ba1a5d9-5a5a-4766-a10b-12e037375a67,New Baltimore Family Practice - Chesterfield,Coty,Prospect,Tier 2,,2025-05-01,Prospect,Joel Tier 2 on 2025-only evidence (last referral 2025-05-01) — not applied
16bc4052-1b0d-46cc-8fe0-6c700c988b44,Pulse Primary Care - Lenox,Coty,Prospect,Prospect,,,Prospect,Joel agrees
8cef9fd7-931c-4e45-bf44-0cac47716f62,Community First Health Centers - New Haven,Coty,Tier 1,Tier 1,2026-06-09,2026-06-09,Tier 1,Joel agrees
7250fa4c-09c2-418b-94d4-8badec5b77f7,North Macomb Medical Associates,Coty,Tier 1,Tier 1,2026-06-09,2026-06-09,Tier 1,Joel agrees
8d20bd9d-fad3-4505-aa71-e69cb2962597,Maridel Hernadez MD,Coty,Prospect,Tier 2,,2026-08-10,Tier 2,"Joel Tier 2, last referral 2026-08-10 (2026 evidence)"
1356499800,"George Afram MD,",Coty,Prospect,Tier 1,2026-01-23,2026-01-23,Tier 1,"Joel T1, spine referral 2026-01-23 (2026 evidence)"
1c5c4e69-60f0-4d66-a3ee-9a33e818a99b,Lakeside Internal Medicine,Coty,Tier 2,Tier 2,,2026-09-01,Tier 2,Joel agrees
23fb6135-419b-4880-ae64-4a97e9244f37,Oak Street Health - Eastgate,Coty,Tier 1,Tier 1,2025-01-29,2026-09-09,Tier 1,Joel agrees
1952660706,Oakland Primary Care,Coty,Tier 1,Tier 1,2026-06-15,2026-06-15,Tier 1,Joel agrees
aa5863d0-5375-4e30-9596-780fee5530e6,Metro Pain Clinic  - Warren,Coty,Prospect,Prospect,,,Prospect,Joel agrees
18-488-0404,Center For Physical Medicine & Rehabilitation - Warren,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1902134794,Henry Ford Macomb Health Center - Fraser,Coty,Tier 2,Tier 3,,2026-05-05,Tier 2,Joel says Tier 3 — NOT applied (book evidence: 0 spine in 2026; never demote a proven sender) — Joel to reconcile
00-521-8262,"Trinity IHA Orthopedics - Brighton,",Coty,Prospect,Prospect,,,Prospect,Joel agrees
e306805a-712e-4203-9077-c434875349fc,Core Institute - Brighton,Coty,Prospect,Prospect,,,Prospect,Joel agrees
664225f4-387f-4458-bce4-0fe6ff18f13e,Restorative Physical Medicine - Brighton,Coty,Prospect,Tier 1,2026-08-24,2026-08-24,Tier 1,"Joel T1, spine referral 2026-08-24 (2026 evidence)"
50a5e17a-f92c-45cc-8842-9b90f70cf283,Lederman Kwartowitz - Brighton,Coty,Prospect,Prospect,,,Prospect,Joel agrees
0b63a258-0396-414a-a240-3ffdff24c7d4,Providence Family & Athletic Medicine,Coty,Prospect,Tier 2,,2026-08-13,Tier 2,"Joel Tier 2, last referral 2026-08-13 (2026 evidence)"
1053422006,Oakland Internal Medicine Associates - Henry Ford,Coty,Tier 2,Tier 1,2025-10-29,2026-04-23,Tier 2,Joel T1 on 2025 spine (2025-10-29); a 2026 referral on 2026-04-23 but its service line is unknown — not applied; Joel to classify
2c230474-0801-4832-a54e-1828db8c62a1,Prime Internal Medicine (MDVIP),Coty,Prospect,Tier 1,2025-08-13,2025-08-13,Prospect,"Joel T1 on 2025-only evidence (trigger 2025-08-13, last referral 2025-08-13) — not applied"
16713b11-3989-4cae-9f63-709b8dcc8b9e,DMC Primary and Specialty Care - Milford,Coty,Prospect,Prospect,,,Prospect,Joel agrees
063204da-544e-4bdd-a18b-f483a5c16ad9,North Valley Internal Medicine,Coty,Tier 1,Tier 1,2025-06-12,2026-08-14,Tier 1,Joel agrees
5e640eee-6b5a-442a-8222-bd81d0a228ec,Henry Ford St. John Center for Wellness,Coty,Tier 1,Tier 1,2025-09-10,2026-05-18,Tier 1,Joel agrees
f9518cc9-e8e8-4517-8250-4768d176ee8c,Sudha Nannapaneni MD,Coty,Tier 1,Tier 1,2026-01-20,2026-01-20,Tier 1,Joel agrees
94e41be8-c824-4bbd-8119-47ffbb084071,Corewell Health Medical Group East,Coty,Tier 2,Tier 1,2025-06-04,2026-03-16,Tier 2,Joel T1 on 2025 spine (2025-06-04); a 2026 referral on 2026-03-16 but its service line is unknown — not applied; Joel to classify
a978aadc-a7c9-40f6-be36-465720a638af,Michigan Surgery Specialists  - Roseville,Coty,Prospect,Prospect,,,Prospect,Joel agrees
7d9074be-0dfe-445c-9ff8-65b5eadde58e,Michigan Institute for Neurological Disorders (MIND) - Roseville,Coty,Tier 3,Tier 3,,2026-01-27,Tier 3,Joel agrees
a7f38558-5076-4a5b-9bd2-68b110ff29c1,Corewell Health Family Medicine -SAINT CLAIR SHORES,Coty,Tier 2,Tier 2,,2026-06-15,Tier 2,Joel agrees
4659932c-d03e-4eaf-b084-f1c5c8002767,Premier Orthopedics & Sports Medicine,Coty,Prospect,Prospect,,,Prospect,Joel agrees
3a5cf92c-ae21-4227-96ec-08c2968a5939,Henry Ford Health Medical Center (Ascension),Coty,Tier 2,Tier 2,,2026-06-29,Tier 2,Joel agrees
1154434975,Shores Internal Medicine,Coty,Tier 2,Tier 2,,2026-06-24,Tier 2,Joel agrees
131adcde-9fdc-45db-af94-831482a14212,ESSENTIAL CARE FAMILY MEDICINE,Coty,Tier 2,Tier 2,,2026-08-20,Tier 2,Joel agrees
ab929875-5247-4a32-9f8b-d3de09fc715b,Emil Sitto MD,Coty,Prospect,Tier 3,,2025-10-14,Prospect,Joel Tier 3 on 2025-only evidence (last referral 2025-10-14) — not applied
1215999339,McLaren Macomb Primary Care,Coty,Prospect,Tier 1,2025-07-23,2025-07-23,Prospect,"Joel T1 on 2025-only evidence (trigger 2025-07-23, last referral 2025-07-23) — not applied"
5356ae4a-e9ec-4b34-abe8-65a5ff0318ce,Romeo Plank Family Practice,Coty,Prospect,Tier 2,,2025-05-27,Prospect,Joel Tier 2 on 2025-only evidence (last referral 2025-05-27) — not applied
1124006333,Cornerstone Internal Medicine,Coty,Tier 1,Tier 1,2026-03-18,2026-09-08,Tier 1,Joel agrees
768a5944-a609-410c-8f75-098efa9952de,Silver Pine Medical Group Romeo Plank,Coty,Prospect,Prospect,,,Prospect,Joel agrees
4bb9ca0b-1ac2-4359-9bae-ac3b13ca5c66,Neuro Pain Consultants - Macomb,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1679554562,Frederick Karoub MD PC,Coty,Tier 3,Tier 1,2025-03-05,2026-01-05,Tier 3,Joel T1 on 2025 spine (2025-03-05); a 2026 referral on 2026-01-05 but its service line is unknown — not applied; Joel to classify
a6831f2e-4f19-4f2d-bdb5-d732d5c81ce7,Epic Healthcare - Southfield,Coty,Tier 1,Tier 2,,2026-07-27,Tier 1,Joel says Tier 2 — NOT applied (book evidence: 1 spine in 2026; never demote a proven sender) — Joel to reconcile
df493f72-e10c-457a-a51c-c0b760cf98a4,Medpointe urgent care - St Clair Shores,Coty,Prospect,Prospect,,,Prospect,Joel agrees
b0dd30c7-d622-45a0-afcc-00519e73eca3,Belamedica,Coty,Tier 2,Tier 2,,2026-06-22,Tier 2,Joel agrees
736da453-396a-4f87-95aa-9798465f42b6,Regenerative Pain Medicine,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1992807358,MDVIP - Troy,Coty,Prospect,Prospect,,,Prospect,Joel agrees
6534c29e-4183-4541-a745-ede23a94fbbd,Bones & Joints Clinic,Coty,Prospect,Prospect,,,Prospect,Joel agrees
58979922-388f-454f-97f0-c730f11f6434,Hope Medical Center,Coty,Tier 2,Tier 1,2025-06-19,2026-08-14,Tier 2,Joel T1 on 2025 spine (2025-06-19); a 2026 referral on 2026-08-14 but its service line is unknown — not applied; Joel to classify
46e88577-6544-4486-beb0-351067178ed3,Changee Kim MD,Coty,Prospect,Prospect,,,Prospect,Joel agrees
7949ef7e-580c-41cc-b7ee-5a5d6dadc605,Precise Chiropractic,Coty,Tier 2,Tier 2,,2026-06-29,Tier 2,Joel agrees
b1e60538-ff76-457b-a530-3647907b307b,Office of Josephine A. Iskander MD,Coty,Tier 1,Tier 2,,2026-09-03,Tier 1,Joel says Tier 2 — NOT applied (book evidence: 1 spine in 2026; never demote a proven sender) — Joel to reconcile
c80937d7-1504-43ae-af51-bb0f13603168,Troy Health Center,Coty,Tier 2,Tier 2,,2026-03-27,Tier 2,Joel agrees
ac4e9d72-9d61-4d13-85ef-1d7c26ded0b6,Detroit Ortho Institute,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1992782320,Macomb Medical Clinic,Coty,Tier 1,Tier 1,2025-04-02,2026-08-18,Tier 1,Joel agrees
aaf83473-f7a0-4e20-8241-601767b6943c,Farrah Ahmad MD,Coty,Prospect,Tier 2,,2025-09-18,Prospect,Joel Tier 2 on 2025-only evidence (last referral 2025-09-18) — not applied
00f1a591-9c29-48d3-826e-cbc95575d982,AS Medical Group,Coty,Prospect,Prospect,,,Prospect,Joel agrees
361c9ac4-e663-4323-a07b-d1e2fd37f618,Mi Family Medicine & Urgent Care,Coty,Prospect,Prospect,,,Prospect,Joel agrees
32aae41b-03f7-4ba2-a919-c78cfed30f30,Oakland Macomb Surgical Group - Madison Heights,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1912926510,Saurabh Gupta MD,Coty,Tier 2,Tier 2,,2026-07-21,Tier 2,Joel agrees
07836153-8b05-4813-a230-a23fa3d07818,ANDERSON SPORTS MEDICINE,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1003819897,Neurology Consultants of Southfield,Coty,Tier 3,Tier 3,,2026-07-06,Tier 3,Joel agrees
e9338159-c4f0-4329-a188-50fd3d8a5ddb,EPIC Southfield - Telegraph Rd office,Coty,Tier 1,Tier 2,,2025-06-11,Tier 1,Joel says Tier 2 — NOT applied (book evidence: 1 spine in 2026; never demote a proven sender) — Joel to reconcile
Ascension St. John Hospital�and�Beaumont Hospital-Dearborn,Michigan Neurology Associates - Clinton Township,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1265482095,Normandy Family Practice,Coty,Tier 2,Tier 1,2025-02-26,2026-04-01,Tier 2,Joel T1 on 2025 spine (2025-02-26); a 2026 referral on 2026-04-01 but its service line is unknown — not applied; Joel to classify
e2e88457-4627-4d77-a90e-00417069f605,Michigan MSK Medicine - Clinton Township,Coty,Tier 3,Tier 3,,2026-07-09,Tier 3,Joel agrees
3e4366b5-b245-4073-9f53-025f25b5446f,Multi-Specialty Clinic,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1013988773,Albert Przybylski DO,Coty,Prospect,Tier 2,,2025-07-16,Prospect,Joel Tier 2 on 2025-only evidence (last referral 2025-07-16) — not applied
860f31e0-1a7c-49eb-a6ce-f5a3914936ba,Center for Orthopedic Surgery,Coty,Prospect,Prospect,,,Prospect,Joel agrees
5d681a4d-3671-4501-b6d1-7f23b1177209,St Clair Orthpaedics & Sports Medicine - Macomb,Coty,Prospect,Prospect,,,Prospect,Joel agrees
04479e76-ae4d-4d52-886f-d3d8ecc2072f,Corewell Center for Pain Management,Coty,Prospect,Prospect,,,Prospect,Joel agrees
abca9491-e80c-416c-b2c4-8fa1db072def,Arcturus Healthcare - Rochester Hills,Coty,Prospect,Tier 2,,2025-05-16,Prospect,Joel Tier 2 on 2025-only evidence (last referral 2025-05-16) — not applied
c82c9d5d-f644-42a6-8149-43868624eb50,Rochester Medical Group,Coty,Tier 1,Tier 1,2026-04-30,2026-08-10,Tier 1,Joel agrees
724c2230-0806-48f5-ac79-5255959b0a73,Phase Family Medicine,Coty,Prospect,Prospect,,,Prospect,Joel agrees
4f2b2878-de83-4132-b6b0-114a9794b70f,Rochester Family Medicine Center,Coty,Prospect,Prospect,,,Prospect,Joel agrees
68a88cbc-7ff0-4330-89fa-1314674545a9,Stamatin Internal Medicine,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1d187d2e-e797-487e-9ca1-79b007c4f326,Rochester Internists,Coty,Prospect,Prospect,,,Prospect,Joel agrees
2ce334a8-959e-4c7d-9b94-f3d5cb4183a3,Corewell Internal Medicine Midway,Coty,Tier 2,Tier 1,2025-12-03,2026-07-15,Tier 2,Joel T1 on 2025 spine (2025-12-03); a 2026 referral on 2026-07-15 but its service line is unknown — not applied; Joel to classify
a75491e9-8970-44fd-ba14-868027583a78,Rochester Family Practice,Coty,Prospect,Tier 2,,2026-07-16,Tier 2,"Joel Tier 2, last referral 2026-07-16 (2026 evidence)"
a8abc02a-95b9-4318-b876-60471f8fff0e,Premiere Pediatrics,Coty,Tier 1,Tier 1,2026-06-16,2026-06-16,Tier 1,Joel agrees
9e86ca6f-890b-4eaa-9974-d1f7c4f09a2c,HARTLAND PEDIATRICS,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1962472241,Michigan Institute for Neurological Disorders (MIND) - Farmington Hills,Coty,Tier 3,Tier 1,2026-03-20,2026-05-01,Tier 1,"Joel T1, spine referral 2026-03-20 (2026 evidence)"
e2adce18-6952-46db-aa54-11f8ab08f2f9,Jagannathan Neurosurgery,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1205811627,CarePoint Internal Medicine,Coty,Prospect,Tier 3,,2026-01-28,Tier 3,"Joel Tier 3, last referral 2026-01-28 (2026 evidence)"
1447235015,AMG Oak Park Medical Center,Coty,Prospect,Tier 1,2025-02-12,2026-08-13,Prospect,Joel T1 on 2025 spine (2025-02-12); a 2026 referral on 2026-08-13 but its service line is unknown — not applied; Joel to classify
4b39f47f-6abb-45b1-8b68-a52d1217f9c1,Greater Michigan Orthopedics,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1a331ee5-5b2d-4703-a28c-28bea6ff2711,Flint Children’s Center,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1013980531,"Raad Kasmikha MD,",Coty,Prospect,Prospect,,,Prospect,Joel agrees
2977b68e-db50-4231-995d-aea6e32ca71f,Legacy Medical Group,Coty,Prospect,Prospect,,,Prospect,Joel agrees
757de7dd-5282-4788-934b-4beb9c13112f,Rochester Hills Family Physicians (Corewell),Coty,Prospect,Tier 2,,2025-06-25,Prospect,Joel Tier 2 on 2025-only evidence (last referral 2025-06-25) — not applied
cdc030ac-8c72-4d65-bbbd-b42ea897452b,WellHealth Medical Associates - Rochester,Coty,Prospect,Prospect,,,Prospect,Joel agrees
8c808cf3-9148-4a0b-8ea0-2d0882a9424e,Specialists in Rehabilitation Medicine,Coty,Tier 1,Tier 1,2025-07-09,2026-04-07,Tier 1,Joel agrees
1790722338,University Orthopedic Specialists,Coty,Prospect,Tier 1,2025-05-08,2025-09-09,Prospect,"Joel T1 on 2025-only evidence (trigger 2025-05-08, last referral 2025-09-09) — not applied"
daf6238f-f813-4c2b-8e5a-1438806414dc,Oakland Macomb Surgical Group,Coty,Prospect,Prospect,,,Prospect,Joel agrees
ff24dc89-5408-4c5d-aa4b-604b524a4b9c,Stoney Creek Physicians,Coty,Prospect,Prospect,,,Prospect,Joel agrees
3d34eacd-6be7-4b51-b56f-b3b6602651c6,Kathleen Knapp DO,Coty,Prospect,Prospect,,,Prospect,Joel agrees
02e450b1-82e8-408a-a0a4-fa7af806ed2b,Brighton Internal Medicine,Coty,Tier 1,Tier 1,2026-01-06,2026-01-06,Tier 1,Joel agrees
d0991686-438d-4fe9-84fd-07bb3b2bbec1,Byron Medical Group,Coty,Prospect,Tier 1,2025-04-07,2025-10-08,Prospect,"Joel T1 on 2025-only evidence (trigger 2025-04-07, last referral 2025-10-08) — not applied"
e474fc74-0d61-4b4f-831d-addccde2b9dd,Howell Family Medicine,Coty,Prospect,Prospect,,,Prospect,Joel agrees
89581b53-bbfd-4c4a-bb78-a2d4945bd199,Newland Medical Associates - Howell,Coty,Prospect,Prospect,,,Prospect,Joel agrees
60644d75-2bd6-461f-8737-d149ab8c0ed3,My Health Urgent Care (Ascension) - Howell,Coty,Prospect,Prospect,,,Prospect,Joel agrees
24e0dcd5-ef5f-4db1-af06-f9751bb1d6a8,Premier Family Medicine - Livingston,Coty,Prospect,Tier 1,2025-12-31,2025-12-31,Prospect,"Joel T1 on 2025-only evidence (trigger 2025-12-31, last referral 2025-12-31) — not applied"
08675f4f-7413-4eb3-9c68-0bb657acb583,Motor City Ortho - Howell,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1043279235,Advanced Orthopedic Specialists,Coty,Prospect,Prospect,,,Prospect,Joel agrees
ff141e2c-04dd-45c4-beb5-914790640293,Amro Shata MD,Coty,Prospect,Prospect,,,Prospect,Joel agrees
1578554168,Troy Medical,Coty,Prospect,Tier 2,,2025-07-30,Prospect,Joel Tier 2 on 2025-only evidence (last referral 2025-07-30) — not applied
9b787ba7-f5be-4319-a44e-39cd77858998,Somerset Family Medicine - Troy,Coty,Prospect,Prospect,,,Prospect,Joel agrees
